TIME_PERIOD,GEO,NOGA,CLASS,LEGAL,INDICATOR,OBS_VALUE,OBS_STATUS
2015,CH,K,_T,_T,New businesses,1492,A
2015,CH,L-N,_T,_T,New businesses,3684,A
2015,CH,M,_T,_T,New businesses,8242,A
2015,CH,P,_T,_T,New businesses,1857,A
2015,CH,Q,_T,_T,New businesses,4403,A
2015,CH,R,_T,_T,New businesses,2173,A
2015,CH,S,_T,_T,New businesses,3416,A
2015,CH,_T,1,_T,New businesses,32475,A
2015,CH,_T,10+,_T,New businesses,163,A
2015,CH,_T,2TO4,_T,New businesses,6155,A
2015,CH,_T,5TO9,_T,New businesses,733,A
2015,CH,_T,_T,1,New businesses,24019,A
2015,CH,_T,_T,2,New businesses,694,A
2015,CH,_T,_T,3,New businesses,5122,A
2015,CH,_T,_T,4,New businesses,8682,A
2015,CH,_T,_T,5,New businesses,85,A
2015,CH,_T,_T,6,New businesses,193,A
2015,CH,_T,_T,7,New businesses,731,A
2015,CH,_T,_T,8,New businesses,0,A
2016,CH,_T,_T,_T,Jobs created by New businesses,53031,A
2016,CH01,_T,_T,_T,Jobs created by New businesses,11037,A
2016,22,_T,_T,_T,Jobs created by New businesses,5122,A
2016,23,_T,_T,_T,Jobs created by New businesses,2119,A
2016,25,_T,_T,_T,Jobs created by New businesses,3796,A
2016,CH02,_T,_T,_T,Jobs created by New businesses,9027,A
2016,2,_T,_T,_T,Jobs created by New businesses,4788,A
2016,10,_T,_T,_T,Jobs created by New businesses,1639,A
2016,11,_T,_T,_T,Jobs created by New businesses,1190,A
2016,24,_T,_T,_T,Jobs created by New businesses,1075,A
2016,26,_T,_T,_T,Jobs created by New businesses,335,A
2016,CH03,_T,_T,_T,Jobs created by New businesses,6032,A
2016,12,_T,_T,_T,Jobs created by New businesses,1456,A
2016,13,_T,_T,_T,Jobs created by New businesses,1249,A
2016,19,_T,_T,_T,Jobs created by New businesses,3327,A
2016,CH04,_T,_T,_T,Jobs created by New businesses,10033,A
2016,1,_T,_T,_T,Jobs created by New businesses,10033,A
2016,CH05,_T,_T,_T,Jobs created by New businesses,6532,A
2016,8,_T,_T,_T,Jobs created by New businesses,219,A
2016,14,_T,_T,_T,Jobs created by New businesses,440,A
2016,15,_T,_T,_T,Jobs created by New businesses,354,A
2016,16,_T,_T,_T,Jobs created by New businesses,100,A
2016,17,_T,_T,_T,Jobs created by New businesses,2877,A
2016,18,_T,_T,_T,Jobs created by New businesses,1161,A
2016,20,_T,_T,_T,Jobs created by New businesses,1381,A
2016,CH06,_T,_T,_T,Jobs created by New businesses,6284,A
2016,3,_T,_T,_T,Jobs created by New businesses,2266,A
2016,4,_T,_T,_T,Jobs created by New businesses,142,A
2016,5,_T,_T,_T,Jobs created by New businesses,1312,A
2016,6,_T,_T,_T,Jobs created by New businesses,219,A
2016,7,_T,_T,_T,Jobs created by New businesses,303,A
2016,9,_T,_T,_T,Jobs created by New businesses,2042,A
2016,CH07,_T,_T,_T,Jobs created by New businesses,4086,A
2016,21,_T,_T,_T,Jobs created by New businesses,4086,A
2016,CH,B-F,_T,_T,Jobs created by New businesses,8047,A
2016,CH,B-E,_T,_T,Jobs created by New businesses,2421,A
2016,CH,F,_T,_T,Jobs created by New businesses,5626,A
2016,CH,G-S,_T,_T,Jobs created by New businesses,44984,A
2016,CH,G,_T,_T,Jobs created by New businesses,6283,A
2016,CH,H,_T,_T,Jobs created by New businesses,1228,A
2016,CH,I,_T,_T,Jobs created by New businesses,2444,A
2016,CH,J,_T,_T,Jobs created by New businesses,2967,A
2016,CH,K,_T,_T,Jobs created by New businesses,2121,A
2016,CH,L-N,_T,_T,Jobs created by New businesses,5277,A
2016,CH,M,_T,_T,Jobs created by New businesses,10049,A
2016,CH,P,_T,_T,Jobs created by New businesses,2238,A
2016,CH,Q,_T,_T,Jobs created by New businesses,5383,A
2016,CH,R,_T,_T,Jobs created by New businesses,2950,A
2016,CH,S,_T,_T,Jobs created by New businesses,4044,A
2016,CH,_T,1,_T,Jobs created by New businesses,32254,A
2016,CH,_T,10+,_T,Jobs created by New businesses,1921,A
2016,CH,_T,2TO4,_T,Jobs created by New businesses,14834,A
2016,CH,_T,5TO9,_T,Jobs created by New businesses,4022,A
2016,CH,_T,_T,1,Jobs created by New businesses,25422,A
2016,CH,_T,_T,2,Jobs created by New businesses,1132,A
2016,CH,_T,_T,3,Jobs created by New businesses,9477,A
2016,CH,_T,_T,4,Jobs created by New businesses,15049,A
2016,CH,_T,_T,5,Jobs created by New businesses,199,A
2016,CH,_T,_T,6,Jobs created by New businesses,325,A
2016,CH,_T,_T,7,Jobs created by New businesses,1427,A
2016,CH,_T,_T,8,Jobs created by New businesses,0,A
2016,CH,_T,_T,_T,New businesses,39125,A
2016,CH01,_T,_T,_T,New businesses,8087,A
2016,22,_T,_T,_T,New businesses,3832,A
2016,23,_T,_T,_T,New businesses,1576,A
2016,25,_T,_T,_T,New businesses,2679,A
2016,CH02,_T,_T,_T,New businesses,6983,A
2016,2,_T,_T,_T,New businesses,3655,A
2016,10,_T,_T,_T,New businesses,1238,A
2016,11,_T,_T,_T,New businesses,936,A
2016,24,_T,_T,_T,New businesses,889,A
2016,26,_T,_T,_T,New businesses,265,A
2016,CH03,_T,_T,_T,New businesses,4522,A
2016,12,_T,_T,_T,New businesses,1024,A
2016,13,_T,_T,_T,New businesses,1002,A
2016,19,_T,_T,_T,New businesses,2496,A
2016,CH04,_T,_T,_T,New businesses,7249,A
2016,1,_T,_T,_T,New businesses,7249,A
